2024-10-21 13:29:04,862:INFO:package: mysql.connector.plugins
2024-10-21 13:29:04,863:INFO:plugin_name: caching_sha2_password
2024-10-21 13:29:04,864:INFO:AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2024-10-21 13:29:05,230:INFO:Database connection established successfully
2024-10-21 13:29:45,330:INFO:Inserted new review: user_id=AFYNGKNEZJTBTFIWBYZCBT7YQAMQ, timestamp=1570127400000
2024-10-21 13:29:45,518:INFO:Inserted new review: user_id=AHKR3UN47FRNI653ZC4GHL5JTB5A, timestamp=1598207400000
2024-10-21 13:29:45,725:INFO:Inserted new review: user_id=AERFA7RV56IS3Z7DBX54D42Q6CUA, timestamp=1717093800000
2024-10-21 13:29:45,940:INFO:Inserted new review: user_id=AHCWGGS2QKDIDWKBZHEA7ZVXXR3Q, timestamp=1717266600000
2024-10-21 13:29:46,138:INFO:Inserted new review: user_id=AFFCY3OWOFGMQQF5CTUP4RHWBDEQ, timestamp=1720031400000
2024-10-21 13:29:46,335:INFO:Inserted new review: user_id=AHFJ4W2STJDEXAQ64GJJ3FQUX34A, timestamp=1713465000000
2024-10-21 13:29:46,523:INFO:Inserted new review: user_id=AG6TYVCR554TJHLWUAVHQGHDRTJA, timestamp=1720549800000
2024-10-21 13:29:46,733:INFO:Inserted new review: user_id=AG7UUJ55PJQVLY77K2JSPJL5EPNQ, timestamp=1701541800000
2024-10-21 13:29:46,921:INFO:Inserted new review: user_id=AGVYYK365B5LPT7FF4D2BZH4IS5A, timestamp=1704047400000
2024-10-21 13:29:46,921:INFO:Page 5: 10 reviews added, 0 duplicates skipped
2024-10-21 13:29:53,339:INFO:Inserted new review: user_id=AEU6GEFJWNWKWZT5R3DRZGOFQQOA, timestamp=1605724200000
2024-10-21 13:29:53,554:INFO:Inserted new review: user_id=AEPCRFSHUIFIWPX4GGWGZYD4WDBA, timestamp=1723314600000
2024-10-21 13:29:53,801:INFO:Inserted new review: user_id=AGU272INKT64KSMCFVDFC3G5EJRA, timestamp=1715797800000
2024-10-21 13:29:54,011:INFO:Inserted new review: user_id=AHM2MAFFPFWUASKDE63FEM7NBXZQ, timestamp=1712341800000
2024-10-21 13:29:54,203:INFO:Inserted new review: user_id=AH5V4JM4AUO4R33J3S3U4NS2P63A, timestamp=1687372200000
2024-10-21 13:29:54,415:INFO:Inserted new review: user_id=AE7MJEWZXYLV7JLSG67BFZKFJT6A, timestamp=1699641000000
2024-10-21 13:29:54,601:INFO:Inserted new review: user_id=AFV2KTZZXJIOTPNCQ5KNMMMHHMQA, timestamp=1692383400000
2024-10-21 13:29:54,795:INFO:Inserted new review: user_id=AGBJKCYA72SAYZWKZCXL7N2RCOUQ, timestamp=1703615400000
2024-10-21 13:29:55,010:INFO:Inserted new review: user_id=AHNORDZGWFRMTSCGSRJZFT6X732Q, timestamp=1572805800000
2024-10-21 13:29:55,265:INFO:Inserted new review: user_id=AGZVRC27GL2BFAYKHTBOKBDIU73A, timestamp=1705602600000
2024-10-21 13:29:55,265:INFO:Page 6: 10 reviews added, 0 duplicates skipped
2024-10-21 13:30:01,668:INFO:Inserted new review: user_id=AEJBZ2X7MKREZG2JVDYKPYQUXJKQ, timestamp=1713551400000
2024-10-21 13:30:01,886:INFO:Inserted new review: user_id=AG3JFE3ZAMPSLQP3MEYW6ROLYJJQ, timestamp=1714242600000
2024-10-21 13:30:02,085:INFO:Inserted new review: user_id=AHC4OJKJZWRXLXCQJ7354U4SRO6A, timestamp=1704565800000
2024-10-21 13:30:02,288:INFO:Inserted new review: user_id=AGAJUDRSDNQR4WOD4DWYVWXHHBJQ, timestamp=1725993000000
2024-10-21 13:30:02,559:INFO:Inserted new review: user_id=AGCITOK7SYGWNHUHUO6RIBVGCAIQ, timestamp=1675881000000
2024-10-21 13:30:02,939:INFO:Inserted new review: user_id=AE2SZHA2CIWB4RKPMGCMMPPLOWAQ, timestamp=1704479400000
2024-10-21 13:30:03,300:INFO:Inserted new review: user_id=AFYFW6VRIRZJRGT2RXYTSUXWPD6A, timestamp=1716229800000
2024-10-21 13:30:03,554:INFO:Inserted new review: user_id=AHYSBKJ2UPENVIYHGQEYQUPQZ5FA, timestamp=1712255400000
2024-10-21 13:30:03,767:INFO:Inserted new review: user_id=AGYO5V2UXF5UBPO5Q4RVP3QQFC6Q, timestamp=1716748200000
2024-10-21 13:30:03,970:INFO:Inserted new review: user_id=AERC6K4IPEMNIGLTKD4QDSUR5AVQ, timestamp=1714156200000
2024-10-21 13:30:03,970:INFO:Page 7: 10 reviews added, 0 duplicates skipped
2024-10-21 13:30:11,443:INFO:Inserted new review: user_id=AEVDGWWB7USQIZTUTET2OHSUMRPQ, timestamp=1708021800000
2024-10-21 13:30:11,659:INFO:Inserted new review: user_id=AFR5DS55KICPKEIJ7I2XBKDRGQUQ, timestamp=1715365800000
2024-10-21 13:30:11,863:INFO:Inserted new review: user_id=AEHTYGLVM5EGSS6WTUEZCESFFIGQ, timestamp=1713119400000
2024-10-21 13:30:12,099:INFO:Inserted new review: user_id=AEDSAKNZE4R6B4Q3LTDKA6SU3BYA, timestamp=1701541800000
2024-10-21 13:30:12,325:INFO:Inserted new review: user_id=AGWDFVCQOQUDYIIVEXQQVEVP27IA, timestamp=1714847400000
2024-10-21 13:30:12,604:INFO:Inserted new review: user_id=AHX2VPGODFTFLTWN3SRCQJ5U3DLQ, timestamp=1717007400000
2024-10-21 13:30:12,808:INFO:Inserted new review: user_id=AHILVKP2J2QIHZ3EZCC6OPL4TSJQ, timestamp=1531593000000
2024-10-21 13:30:13,008:INFO:Inserted new review: user_id=AHHIX63P3MJNEAP64QITUN5JVLCQ, timestamp=1713465000000
2024-10-21 13:30:13,248:INFO:Inserted new review: user_id=AHKMVPDC4SQT7CUQ27JE6LCISIWQ, timestamp=1712946600000
2024-10-21 13:30:13,454:INFO:Inserted new review: user_id=AFZMHTQ2ZL3XHV4V2K6XV6WRVPQQ, timestamp=1710268200000
2024-10-21 13:30:13,455:INFO:Page 8: 10 reviews added, 0 duplicates skipped
2024-10-21 13:30:20,648:INFO:Inserted new review: user_id=AGM6FO34OKXCDQVKEMLHFKPICNSA, timestamp=1692729000000
2024-10-21 13:30:20,859:INFO:Inserted new review: user_id=AFDV3H6AMHHLCBTHI2CO5EHWBAUQ, timestamp=1695148200000
2024-10-21 13:30:21,204:INFO:Inserted new review: user_id=AHTKNARS53EUHQ52MQF5OVYLPUSA, timestamp=1704047400000
2024-10-21 13:30:21,409:INFO:Inserted new review: user_id=AEVSPFMPP7KR4TZ2DKIV6SGV6GVA, timestamp=1714156200000
2024-10-21 13:30:21,597:INFO:Inserted new review: user_id=AH6KTAWV7BW7DPJSR6CRNVSVMTLA, timestamp=1576607400000
2024-10-21 13:30:21,786:INFO:Inserted new review: user_id=AGXZFZKHOOZYVQETMTHFKRBE2YTA, timestamp=1575657000000
2024-10-21 13:30:21,990:INFO:Inserted new review: user_id=AHGUHGFJOAKRRUOOPDI3ZATHHMWQ, timestamp=1697308200000
2024-10-21 13:30:22,194:INFO:Inserted new review: user_id=AE53CNJNQFMTKRPETCOH66LYTBWA, timestamp=1643740200000
2024-10-21 13:30:22,400:INFO:Inserted new review: user_id=AHZ3NK32XNM6J4AGWK7YPZOAWEXA, timestamp=1621621800000
2024-10-21 13:30:22,588:INFO:Inserted new review: user_id=AFYA7STWPYSTT6NNJ3NOFVWEQX6A, timestamp=1636569000000
2024-10-21 13:30:22,588:INFO:Page 9: 10 reviews added, 0 duplicates skipped
2024-10-21 13:30:30,843:INFO:Inserted new review: user_id=AEIY3Y4GIHXMS6QTLE75QCOXFUBQ, timestamp=1715020200000
2024-10-21 13:30:31,071:INFO:Inserted new review: user_id=AFKODIF3FEBBDJR23GH5X7GKZ6DA, timestamp=1711477800000
2024-10-21 13:30:31,417:INFO:Inserted new review: user_id=AH5PD7TGDGOP4X7M2CF6PCAT737Q, timestamp=1623868200000
2024-10-21 13:30:32,244:INFO:Inserted new review: user_id=AEADQNR2GHN4N64J2TG6YGJRBXOQ, timestamp=1703788200000
2024-10-21 13:30:32,618:INFO:Inserted new review: user_id=AHD3H6QBT2MIABOSR6TGPZWKDLSQ, timestamp=1698690600000
2024-10-21 13:30:33,549:INFO:Inserted new review: user_id=AE53UDLKO5B3QONVBN7IGAGKV6HQ, timestamp=1578853800000
2024-10-21 13:30:33,833:INFO:Inserted new review: user_id=AGDNRKRRDCBOOZZMILHJKEBL2VXA, timestamp=1712341800000
2024-10-21 13:30:34,074:INFO:Inserted new review: user_id=AH5ASMQX6AFAKR2QOJ2WYHWT4MDA, timestamp=1661625000000
2024-10-21 13:30:34,522:INFO:Inserted new review: user_id=AGMQY4JB4SDK6J66HTUZEBKKGMMA, timestamp=1712169000000
2024-10-21 13:30:34,869:INFO:Inserted new review: user_id=AGNXS4RJDR67BX2XDOYF6263HAOQ, timestamp=1712082600000
2024-10-21 13:30:34,869:INFO:Page 10: 10 reviews added, 0 duplicates skipped
2024-10-21 13:30:42,207:INFO:No reviews found on page 11. Ending scraping.
2024-10-21 13:30:42,209:INFO:Reviews extracted and saved to reviews.csv
2024-10-21 13:30:42,209:INFO:Scraping completed. Total reviews added: 100
2024-10-21 13:30:42,209:INFO:Database connection closed
