2024-08-26 00:31:48,708:INFO:Database connection established successfully
2024-08-26 00:32:15,635:INFO:Inserted new review: user_id=AG2VH2EKH7IYRJL5RFH6MKH3QCMQ, timestamp=1713378600000
2024-08-26 00:32:15,641:INFO:Inserted new review: user_id=AEAGAYG7NXFRP2F762VSH2T3ZE3A, timestamp=1720722600000
2024-08-26 00:32:15,647:INFO:Inserted new review: user_id=AFFXEYEDLXFQMK2RDL5LKBJKCHCA, timestamp=1718908200000
2024-08-26 00:32:15,653:INFO:Inserted new review: user_id=AEAR6FHBXALI3MENQDSRAOEGFWQA, timestamp=1714588200000
2024-08-26 00:32:15,658:INFO:Inserted new review: user_id=AHQDESJFJ7LYUV26KPJZ6SPROIQA, timestamp=1721241000000
2024-08-26 00:32:15,664:INFO:Inserted new review: user_id=AGZL4HMFPSOCDYESBOTEWSVHAILQ, timestamp=1720204200000
2024-08-26 00:32:15,670:INFO:Inserted new review: user_id=AGIEJTXRCWHX5UAVBZRINQQKQ3VQ, timestamp=1712255400000
2024-08-26 00:32:15,670:INFO:Page 5: 10 reviews added, 0 duplicates skipped
2024-08-26 00:32:21,717:INFO:Inserted new review: user_id=AHNHHNTX7DIMR55YB54AF4O3ITXA, timestamp=1713810600000
2024-08-26 00:32:21,722:INFO:Inserted new review: user_id=AGEOQPW4OQKF66O2IUPTRHVFUQ4A, timestamp=1718821800000
2024-08-26 00:32:21,729:INFO:Inserted new review: user_id=AF2TEBQE6KAH3ECBUV22HJDDHPEA, timestamp=1721932200000
2024-08-26 00:32:21,738:INFO:Inserted new review: user_id=AG77LE55P2OS3NPPBSQQUJBPN46A, timestamp=1721500200000
2024-08-26 00:32:21,745:INFO:Inserted new review: user_id=AEYUCABNK3F7EPH4QDFXZRLZVLZA, timestamp=1719513000000
2024-08-26 00:32:21,753:INFO:Inserted new review: user_id=AEFFEJNXRIORQFJFUIQQEZPJGTPA, timestamp=1721673000000
2024-08-26 00:32:21,763:INFO:Inserted new review: user_id=AGUGWL7NLUOF6DEZDM4OIXSP73QA, timestamp=1720981800000
2024-08-26 00:32:21,770:INFO:Inserted new review: user_id=AGKHDEYG42HJ2AZKQB63AIM76HOQ, timestamp=1720809000000
2024-08-26 00:32:21,778:INFO:Inserted new review: user_id=AHPIFGEH2XKFSUXXOIBBO6Y4FXGQ, timestamp=1724265000000
2024-08-26 00:32:21,786:INFO:Inserted new review: user_id=AE5L522I5NTPSUQJVYP4RDQLL5IQ, timestamp=1716834600000
2024-08-26 00:32:21,786:INFO:Page 6: 10 reviews added, 0 duplicates skipped
